Identifiant;Nom de famille;Prénom;Groupes;DN de l'utilisateur
a.cailot;Cailot;Antoine;DL_Partage_Graphistes<br>GG_Graphistes<br>DL_Partage_Users;
a.fournier;Fournier;Alexandre;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>GG_Direction<br>DL_Partage_Users;
a.turcotte;Turcotte;Amber;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>GG_Direction<br>DL_Partage_Users;
b.aupry;Aupry;Byron;DL_Partage_Developpeurs<br>DL_Partage_Users<br>GG_Developpeurs;
b.banon;Banon;Basile;DL_Partage_Informatique<br>GG_Informatique<br>DL_Partage_Users;
b.schneider;Schneider;Bertrand;DL_Partage_Graphistes<br>GG_Graphistes<br>DL_Partage_Users;
c.caron;Caron;Cédric;DL_Partage_Testeurs<br>GG_Testeurs<br>DL_Partage_Users;
c.desaulnier;Desaulniers;Christiane;DL_Partage_Testeurs<br>GG_Testeurs<br>DL_Partage_Users;
c.seguin;Séguin;Cerise;DL_Partage_Graphistes<br>GG_Graphistes<br>DL_Partage_Users;
d.descoteaux;Descoteaux;Dominique;DL_Partage_Testeurs<br>GG_Testeurs<br>DL_Partage_Users;
d.fluet;Fluet;Damien;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>GG_Direction<br>DL_Partage_Users;
d.ramos;Ramos;Denis;DL_Partage_Audio<br>DL_Partage_Users<br>GG_Audio;
e.dupy;Dupy;Emmeline;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>GG_Direction<br>DL_Partage_Users;
e.navarro;Navarro;Elise;DL_Partage_Developpeurs<br>DL_Partage_Users<br>GG_Developpeurs;
f.gaulin;Gaulin;Florence;DL_Partage_Audio<br>DL_Partage_Users<br>GG_Audio;
f.lang;Lang;Fabrice;DL_Partage_Graphistes<br>GG_Graphistes<br>DL_Partage_Users;
f.paquette;Paquette;Fauna;DL_Partage_Graphistes<br>GG_Graphistes<br>DL_Partage_Users;
g.favreau;Favreau;Gifford;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>GG_Direction<br>DL_Partage_Users;
g.langelier;Langelier;Gaspar;DL_Partage_Testeurs<br>GG_Testeurs<br>DL_Partage_Users;
glpi;;;DL_Partage_Users;
glpi-system;Support;;;
h.gamelin;Gamelin;Hariette;DL_Partage_Developpeurs<br>DL_Partage_Users<br>GG_Developpeurs;
i.herve;Hervé;Isabelle;DL_Partage_Testeurs<br>GG_Testeurs<br>DL_Partage_Users;
j.baron;Baron;Javier;DL_Partage_Developpeurs<br>DL_Partage_Users<br>GG_Developpeurs;
j.champagne;Champagne;Jeannine;DL_Partage_Developpeurs<br>DL_Partage_Users<br>GG_Developpeurs;
j.daigneault;Daigneault;Julienne;DL_Partage_Developpeurs<br>DL_Partage_Graphistes<br>GG_Graphistes<br>DL_Partage_Users<br>GG_Developpeurs;
l.laurent;Laurent;Laetitia;DL_Partage_Developpeurs<br>DL_Partage_Graphistes<br>GG_Graphistes<br>DL_Partage_Users<br>GG_Developpeurs;
m.allard;Allard;Mathilda;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>DL_Partage_Graphistes<br>GG_Direction<br>GG_Graphistes<br>DL_Partage_Users;
m.anoux;Anoux;Marc;DL_Partage_Audio<br>DL_Partage_Users<br>GG_Audio;
m.lazure;Lazure;Morgana;DL_Partage_Graphistes<br>GG_Graphistes<br>DL_Partage_Users;
m.monjeau;Monjeau;Martine;DL_Partage_Developpeurs<br>DL_Partage_Users<br>GG_Developpeurs;
n.roux;Roux;Nicolas;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>GG_Direction<br>DL_Partage_Users;
normal;;;DL_Partage_Users;
o.couturier;Couturier;Odette;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>GG_Direction<br>DL_Partage_Users;
p.marcoux;Marcoux;Pascal;DL_Partage_Developpeurs<br>DL_Partage_Direction<br>GG_Direction<br>DL_Partage_Users;
Plugin_GLPI_Inventory;;Plugin GLPI Inventory;DL_Partage_Users;
post-only;;;DL_Partage_Users;
pp.buisson;de Buisson;Paul Poirier;DL_Partage_Developpeurs<br>DL_Partage_Users<br>GG_Developpeurs;
rd.ruiz;Ruiz;René Daniel;DL_Partage_Testeurs<br>GG_Testeurs<br>DL_Partage_Users;
tech;;;DL_Partage_Users;
v.arcouet;Arcouet;Vick;DL_Partage_Developpeurs<br>DL_Partage_Users<br>GG_Developpeurs;
v.gougeon;Gougeon;Véronique;DL_Partage_Audio<br>DL_Partage_Users<br>GG_Audio;
v.jacob;Jacob;Vincent;DL_Partage_Testeurs<br>GG_Testeurs<br>DL_Partage_Users;
w.rhouma;Rhouma;Walid;DL_Partage_Informatique<br>GG_Informatique<br>DL_Partage_Users;
