Nom;ID;Utilisateur;Groupe;Durée de garantie; Date de mise en service;Type d'élément;Système d'exploitation;Applications
PPB-ADM-001;1;Turcotte Amber;GG_Direction;48 mois;14/03/2018;PC portable;Windows 10;Colour Contrast Analiser
PPB-ADM-002;2;Marcoux Pascal;GG_Direction;48 mois;14/03/2018;PC portable;Windows 10;Colour Contrast Analiser
PPB-ADM-003;3;Roux Nicolas;GG_Direction;48 mois;14/03/2018;PC portable;Windows 10;Colour Contrast Analiser
PPB-ADM-004;4;Couturier Odette;GG_Direction;48 mois;14/03/2018;PC portable;Windows 10;Colour Contrast Analiser
PPB-ADM-005;5;Favreau Gifford;GG_Direction;48 mois;14/03/2018;PC portable;Windows 10;Colour Contrast Analiser
PPB-ADM-006;6;Fluet Damien;GG_Direction;48 mois;14/03/2018;PC portable;Windows 10;Colour Contrast Analiser
PFX-SIT-001;7;Banon Basile;GG_Informatique;48 mois;17/02/2019;PC fixe;Ubuntu;Kontrast
PFX-SIT-002;8;Rhouma Walid;GG_Informatique;48 mois;24/11/2022;PC fixe;Ubuntu;Kontrast
PPB-TST-001;9;Langelier Gaspar;GG_Testeurs;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PPB-TST-002;10;Descoteaux Dominique;GG_Testeurs;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PFX-TST-001;11;Caron Cédric;GG_Testeurs;48 mois;28/10/2019;PC fixe;Ubuntu;Kontrast
PPB-TST-003;12;Desaulniers Christiane;GG_Testeurs;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PPB-TST-004;13;Jacob Vincent;GG_Testeurs;48 mois;24/04/2023;PC portable;Windows 10;Colour Contrast Analiser
PFX-SND-001;16;Dupy Emmeline;GG_Audio;48 mois;12/01/2022;PC fixe;Windows 10;Colour Contrast Analiser
PFX-SND-002;17;Anoux Marc;GG_Audio;48 mois;12/01/2022;PC fixe;Windows 10;Colour Contrast Analiser
PFX-SND-003;18;Gaulin Florence;GG_Audio;48 mois;12/01/2022;PC fixe;Windows 10;Colour Contrast Analiser
PPB-SND-001;19;Gougeon Véronique;GG_Audio;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PPB-SND-002;20;Ramos Denis;GG_Audio;48 mois;24/04/2023;PC portable;Windows 10;Colour Contrast Analiser
PPB-GPH-001;21;Allard Mathilda;GG_Graphistes;48 mois;25/03/2020;PC portable;Windows 10;Colour Contrast Analiser
PPB-GPH-002;22;Lazure Morgana;GG_Graphistes;48 mois;25/03/2020;PC portable;Windows 10;Colour Contrast Analiser
PCX-GPH-001;23;Lang Fabrice;GG_Graphistes;48 mois;25/03/2020;PC fixe;Windows 10;Colour Contrast Analiser
PCX-GPH-002;24;Paquette Fauna;GG_Graphistes;48 mois;25/03/2020;PC fixe;Windows 10;Colour Contrast Analiser
PCX-GPH-003;25;Séguin Cerise;GG_Graphistes;48 mois;25/03/2020;PC fixe;Windows 10;Colour Contrast Analiser
PPB-GPH-004;26;Daigneault Julienne;GG_Graphistes;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PPB-GPH-005;27;Laurent Laetitia;GG_Graphistes;48 mois;24/04/2023;PC portable;Windows 10;Colour Contrast Analiser
PPB-GPH-006;28;Cailot Antoine;GG_Graphistes;48 mois;12/01/2022;PC portable;Windows 10;Colour Contrast Analiser
PPB-GPH-007;29;Schneider Bertrand;GG_Graphistes;48 mois;24/04/2023;PC portable;Windows 10;Colour Contrast Analiser
PFX-DEV-001;30;Fournier Alexandre;GG_Developpeurs;48 mois;28/10/2019;PC fixe;Ubuntu;Kontrast
PFX-DEV-002;31;Monjeau Martine;GG_Developpeurs;48 mois;28/10/2019;PC fixe;Ubuntu;Kontrast
PFX-DEV-003;32;Champagne Jeannine;GG_Developpeurs;48 mois;08/01/2019;PC fixe;Ubuntu;Kontrast
